Jurisdiction,Year,Category ,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Caroline County,2020,Total Female,1003,1000,1281,1185,872,950,1065,1090,1108,1038,1177,1344,1271,1026,842,545,300,325,17422
Baltimore County,2020,Total Non-Hispanic Black,16506,17328,18831,16496,16941,19768,18043,16525,15970,15900,16591,16109,14042,11164,8133,4542,2597,2752,248238
Montgomery County,2015,Hispanic Male,8799,8187,7932,7186,7731,8613,9554,8954,7906,6595,5374,4053,2793,1723,983,670,336,296,97685
Charles County,2035,Hispanic Male,788,736,671,623,676,595,586,491,486,457,403,328,305,204,170,112,24,31,7686
Anne Arundel County,2035,Total Non-Hispanic Black,8217,8485,8617,7680,6492,7232,8218,8256,8895,8634,8660,7155,6426,6251,5087,3619,1979,1565,121468
St. Mary's County,2010,Non-Hisp White Male,2653,2663,2846,2669,2223,2663,2408,2480,3056,3698,3250,2536,2046,1519,1076,654,419,303,39162
Cecil County,2040,Hispanic Male,375,398,431,467,435,466,497,448,389,339,313,274,207,152,131,59,25,30,5436
Frederick County,2040,Total,21384,21886,21529,19738,15170,16300,19625,24692,23959,21377,17752,16255,14635,15274,15349,15753,11984,12765,325427
Dorchester Co,2030,Non-Hisp Black Male,359,311,342,337,339,250,227,278,393,368,340,333,326,284,203,139,79,54,4962
Baltimore County,2010,Non-Hisp White Female,11408,11713,12541,13161,15459,15286,13236,13529,16057,20076,22183,20164,17775,13040,10353,9788,9696,10492,255957
Anne Arundel County,2035,Non-Hisp Other Female,2332,2261,1937,1746,1725,2714,2585,2297,1885,1676,1883,1809,1642,1278,1203,891,659,209,30732
St. Mary's County,2045,Non-Hisp White Female,3235,3323,3448,3001,2506,2782,3166,3553,3885,3642,3773,3554,3075,2439,2286,2463,2047,2065,54243
Washington County,2020,Non-Hisp Black Male,659,620,565,608,455,432,379,378,458,400,425,440,325,142,65,34,17,2,6404
Garrett County,2010,Total Male,798,888,1029,1108,831,721,775,865,994,1118,1176,1074,1007,850,630,387,241,178,14670
Charles County,2045,Total Female,7203,7541,8142,8242,6462,6636,6802,7504,7926,8608,8456,6973,6185,5864,6255,6561,4162,3473,122995
Howard County,2020,Total Hispanic,2041,2091,2401,2172,2078,2040,1805,1868,1964,1687,1444,1073,740,442,264,206,108,48,24472
Allegany County,2020,Total,4871,3627,3344,3712,3979,3540,4935,3900,4046,3455,3992,4432,4892,4675,3844,3171,1993,1777,68185
Anne Arundel County,2040,Non-Hisp Other Male,2404,2382,2296,1947,1763,1785,2583,2324,2045,1770,1592,1539,1456,1211,954,708,523,179,29461
Dorchester Co,2020,Total,1849,1974,2223,1933,1544,1782,1941,2151,1915,1980,2287,2621,2808,2210,1781,1281,721,756,33757
Dorchester Co,2040,Total Female,1178,1184,1187,1040,986,1098,1244,1163,951,1294,1331,1381,1301,1182,1199,1018,788,864,20389
Somerset County,2040,Total Hispanic,151,146,127,108,92,81,81,60,37,47,71,25,16,8,2,1,0,1,1054
Howard County,2010,Non-Hisp White Male,3980,5223,6196,6019,4310,4880,4165,4569,6052,8136,7880,6913,5695,3782,2280,1573,1046,743,83442
Harford County,2035,Total Non-Hispanic Black,3503,3497,3687,3320,2374,2719,3182,3424,3483,3061,2646,2580,2685,2440,2048,1219,688,487,47043
Queen Anne's County,2020,Total Male,1214,1331,1604,1654,1155,990,1456,1480,1329,1491,1826,2292,2016,1631,1285,1017,474,383,24628
Dorchester Co,2025,Hispanic Male,169,146,120,90,62,61,75,92,117,92,52,35,16,12,9,6,7,6,1167
Worcester County,2035,Hispanic Male,110,105,81,76,87,95,99,64,81,108,103,81,68,63,44,20,16,23,1324
Cecil County,2035,Non-Hisp White Male,3125,3286,2964,2475,2344,3126,3069,2608,2770,3063,2788,2737,2967,3090,2791,2106,1318,1398,48025
Kent County,2040,Hispanic Male,32,38,41,42,45,43,69,44,41,11,20,5,2,1,0,0,0,0,434
Anne Arundel County,2010,Hispanic Male,2006,1542,1332,1217,1641,1949,1904,1430,1118,870,611,417,238,138,103,72,52,16,16656
Somerset County,2045,Total Non-Hispanic White,467,442,483,491,470,480,456,503,650,731,824,920,1048,919,813,656,610,547,11510
Cecil County,2035,Total,8283,8483,7800,6689,6462,8904,8486,7395,7211,7175,6759,6859,7469,7585,6850,5386,3534,3469,124799
Anne Arundel County,2025,Total Non-Hispanic Black,7197,7449,7554,6745,5534,6044,7643,7985,8172,6708,6419,6719,6506,5237,3249,2112,1078,992,103343
Montgomery County,2020,Total Non-Hispanic Black,13698,12797,13335,14859,11242,14349,16434,15486,14002,13324,13094,12669,10366,7420,5639,3389,1958,1899,195960
Queen Anne's County,2045,Non-Hisp White Male,1363,1654,1677,1519,1082,884,1181,1584,1818,1885,1496,1908,1533,1170,1185,1402,1140,1145,25626
Allegany County,2035,Total Non-Hispanic White,2689,3127,3262,3274,3064,2953,3732,3731,4511,3577,4034,3429,3819,4078,4013,3481,2353,2038,61165
Calvert County,2025,Non-Hisp Black Female,323,324,363,337,316,354,483,471,370,406,441,633,580,483,401,295,141,124,6845
Harford County,2035,Hispanic Male,771,696,707,688,752,873,794,630,567,460,468,369,375,238,186,155,63,33,8825
Baltimore County,2045,Hispanic Female,2723,2650,2561,2461,2426,2361,2480,2357,2171,1954,1957,2091,2018,1794,1421,727,341,161,34654
Howard County,2045,Non-Hisp White Female,1803,1993,2619,2732,2346,2646,2110,1999,2845,3949,4502,3722,3370,2869,3112,4026,4749,6299,57691
Calvert County,2045,Non-Hisp Other Female,167,205,226,235,123,112,109,215,278,240,204,184,168,95,103,108,98,7,2877
Cecil County,2020,Non-Hisp White Male,2044,2222,2830,2622,2178,2461,2729,2434,2420,2804,3387,3716,3388,2676,1962,1220,647,580,42320
Anne Arundel County,2030,Total Female,17807,17447,17327,16559,15904,18017,18683,19302,19959,19310,17516,17724,18777,19321,16304,12558,9207,7241,298963
Washington County,2020,Hispanic Female,379,399,493,380,321,285,251,229,261,226,215,155,117,68,47,30,23,5,3884
Dorchester Co,2030,Non-Hisp Black Female,349,305,371,355,403,285,320,358,442,356,318,368,414,395,372,261,109,245,6026
Cecil County,2045,Total Non-Hispanic White,6697,7555,7161,6543,6057,6038,5828,6961,6432,5379,5704,6133,5593,5164,5008,5150,4305,5225,106933
Talbot County,2045,Non-Hisp White Female,555,715,719,640,529,570,607,758,969,918,1009,1161,1204,1201,1260,1199,1226,1512,16752
Queen Anne's County,2020,Hispanic Male,102,93,95,76,59,65,91,102,72,68,52,44,26,14,5,4,3,3,974
Baltimore County,2015,Non-Hisp White Female,11384,10990,11615,11666,13652,15281,14115,12934,13062,15602,19615,21404,19184,16380,11554,8827,7695,11436,246396
Worcester County,2015,Non-Hisp White Female,731,705,931,861,805,967,884,872,1092,1361,1709,1904,1910,1901,1610,1114,795,693,20845
Baltimore County,2010,Hispanic Male,1987,1517,1265,1310,1733,2084,1953,1530,1143,879,645,445,311,190,120,102,61,45,17320
Charles County,2010,Non-Hisp White Female,1754,1823,2071,2249,2005,2039,1836,2107,2783,3410,3156,2704,2348,1818,1157,868,634,633,35395
State of Maryland,2020,Non-Hisp White Female,73697,71216,73500,71684,75843,96096,99311,93650,82349,88588,107637,126148,121704,105015,87880,62433,39541,50092,1526384
Dorchester Co,2030,Non-Hisp White Female,461,539,550,523,451,585,423,641,591,768,760,770,895,884,933,622,434,400,11230
Caroline County,2010,Hispanic Male,127,107,80,80,124,132,105,85,64,53,22,23,7,9,4,3,0,1,1026
Baltimore City,2035,Total,36613,33785,33138,31960,38405,46739,45735,40091,46763,49017,42900,34288,27405,24896,24566,20225,13026,10342,599894
Harford County,2025,Non-Hisp Black Male,1397,1317,1391,1525,1062,1078,1215,1209,1086,1033,1171,1300,1113,854,502,239,122,119,17733
Worcester County,2030,Non-Hisp White Male,847,965,1129,1022,941,940,901,894,1115,1166,1180,1539,2117,2220,1713,1303,956,768,21716
Worcester County,2040,Total Non-Hispanic Black,594,591,649,575,501,475,654,588,511,519,426,376,381,317,371,474,318,258,8578
Dorchester Co,2045,Total Hispanic,402,395,342,290,235,204,198,212,103,86,81,96,78,61,42,32,22,21,2900
Dorchester Co,2040,Total Hispanic,398,373,309,259,219,211,217,170,89,100,101,123,68,41,38,25,21,17,2779
Garrett County,2010,Hispanic Male,17,13,10,7,11,6,8,7,8,6,0,2,3,1,1,2,2,1,105
Calvert County,2045,Non-Hisp White Male,1845,2064,2457,2419,1919,1779,1862,2166,2750,2989,2792,2542,2038,1506,1347,1570,1557,1512,37114
Somerset County,2025,Total Non-Hispanic Black,627,484,438,928,1192,665,617,234,279,344,301,372,458,369,296,187,126,99,8016
Howard County,2030,Hispanic Male,1479,1347,1253,1279,1438,1329,1276,1126,990,998,1058,830,764,541,304,188,61,14,16275
Charles County,2030,Non-Hisp Black Female,3566,3741,4011,3796,2761,3237,4103,4492,3732,3485,3479,4249,4515,3870,2291,1728,734,659,58449
State of Maryland,2010,Total Hispanic,50347,41030,35815,34238,41932,49909,48336,40607,33932,27689,20538,14143,9559,5992,4075,2907,1908,1419,464376
Dorchester Co,2010,Hispanic Female,74,64,35,40,52,66,54,30,22,30,18,20,8,12,11,1,5,2,544
Washington County,2010,Non-Hisp Black Male,428,478,442,425,276,265,348,327,366,364,291,185,146,100,50,21,13,7,4532
Caroline County,2035,Total Hispanic,601,525,434,323,303,284,338,194,177,121,118,113,51,33,22,17,6,10,3670
Queen Anne's County,2025,Non-Hisp White Female,1112,1171,1199,1147,927,950,1221,1462,1378,1159,1505,1860,1972,1863,1369,1236,781,620,22932
Kent County,2020,Non-Hisp White Male,267,345,322,355,271,343,370,365,312,382,499,645,678,676,558,496,229,192,7305
Carroll County,2045,Hispanic Male,386,391,399,407,394,377,398,373,337,326,363,317,290,101,95,94,28,50,5126
Carroll County,2035,Total Non-Hispanic White,7128,8274,8148,7324,6114,6211,7700,8887,8877,8640,7788,6670,7995,10737,11616,9958,7514,8777,148358
Garrett County,2015,Total Female,737,778,854,870,772,693,786,792,928,1020,1205,1182,1094,958,750,536,367,369,14691
Baltimore County,2035,Non-Hisp Black Female,10136,10432,10838,10238,10712,11736,11073,11815,12294,10820,10058,9561,9435,9543,8674,6744,4527,4665,173301
Caroline County,2045,Non-Hisp Other Female,127,98,116,108,57,53,40,65,57,55,42,37,22,14,15,8,6,4,924
Caroline County,2035,Total,2984,2901,2810,2319,2005,2386,2563,2247,2267,2534,2448,2295,2141,2352,2294,1763,1067,802,40178
Caroline County,2020,Hispanic Male,156,141,146,123,109,106,135,95,76,99,64,47,12,14,6,3,1,1,1334
Wicomico County,2015,Total Male,2837,3162,3236,3088,4251,3297,2637,2922,2655,2864,3141,3275,2746,2287,1627,996,672,627,46320
Anne Arundel County,2035,Total Hispanic,6051,5503,5023,4867,5125,5013,4329,3616,3516,3995,4403,3809,2945,1927,1403,984,561,201,63271
Carroll County,2035,Hispanic Female,351,349,320,284,279,292,321,278,239,202,203,159,158,116,48,37,21,11,3668
Prince George's County,2015,Total Female,29619,27411,27014,26697,32716,36050,32241,31225,31074,32829,34720,32184,27697,22019,14543,9663,6161,6404,460267
Harford County,2030,Total Non-Hispanic Black,3156,3083,3161,2933,2397,2579,2958,3171,2886,2547,2444,2729,2670,2269,1719,858,516,343,42419
Calvert County,2010,Non-Hisp White Female,1768,2361,2670,2556,1740,1725,1755,2153,3037,3673,3148,2503,1919,1387,931,760,603,596,35285
Caroline County,2035,Non-Hisp White Male,909,891,952,826,702,757,730,729,702,914,913,838,851,904,793,607,341,277,13636
Talbot County,2015,Non-Hisp White Male,581,679,790,693,461,594,605,569,704,870,995,1066,1080,1194,1130,822,487,447,13767
Queen Anne's County,2025,Total Female,1381,1429,1481,1455,1173,1146,1408,1665,1642,1430,1742,2109,2243,2073,1534,1347,863,690,26811
Talbot County,2015,Total,1644,1987,2175,1807,1509,1761,1850,1688,2005,2335,2768,2842,2857,3031,2619,1850,1215,1249,37192
Charles County,2010,Total,9430,10226,11662,11516,8465,8398,8482,10414,12633,13434,11187,8722,7088,5155,3328,2318,1455,1233,145146
Montgomery County,2040,Non-Hisp White Female,7220,7538,8560,8180,7032,9492,8528,8054,9183,11565,13477,11792,9489,9265,10465,10946,9672,12267,172725
Anne Arundel County,2030,Non-Hisp Black Female,3633,3759,3740,3359,3109,3435,3971,4434,4433,4403,3677,3593,3680,3533,2575,1664,994,778,58770
Worcester County,2010,Non-Hisp Other Female,88,87,88,64,24,37,44,43,39,49,55,36,28,25,16,6,9,6,744
Cecil County,2015,Non-Hisp Other Male,126,229,233,194,138,126,102,79,96,92,100,91,58,58,19,6,10,4,1761
Talbot County,2015,Hispanic Female,172,132,97,63,64,88,111,98,66,56,43,34,19,16,15,12,1,4,1091
Baltimore City,2035,Hispanic Female,869,750,861,1023,1005,681,517,306,555,1265,1610,1314,851,546,368,179,45,6,12751
Baltimore City,2040,Non-Hisp White Male,5197,3371,3241,2745,6259,10997,8398,8827,7178,8199,7786,5565,3828,2611,2228,1957,1336,1036,90759
Baltimore City,2035,Hispanic Male,970,968,1093,1319,1763,1487,1064,603,1004,1805,2167,1719,1142,537,357,123,17,6,18144
Anne Arundel County,2010,Total Hispanic,3911,3051,2636,2272,2967,3619,3474,2780,2169,1665,1233,860,535,304,217,187,113,75,32068
Allegany County,2045,Non-Hisp Other Male,119,131,142,133,104,68,70,126,81,61,58,42,34,22,21,9,6,15,1242
Queen Anne's County,2010,Non-Hisp Black Male,99,87,95,117,79,84,74,63,82,111,129,122,84,71,62,42,26,28,1455
Kent County,2020,Total Hispanic,65,55,91,69,63,48,81,89,66,38,25,21,13,8,2,2,1,0,737
Baltimore County,2045,Total Non-Hispanic White,17253,17030,16481,16539,17207,18255,19355,18436,18984,19735,20655,22387,21849,19331,17933,18234,17134,23454,340252
Washington County,2040,Non-Hisp White Male,3783,3966,4047,3876,3571,3507,3804,3977,3521,3182,3546,3601,3335,3288,3359,3159,2258,2207,61987
Washington County,2035,Total Male,5997,6131,6027,5446,4723,5507,5381,4801,4357,4481,4684,4521,4464,4537,4159,3205,2100,1888,82409
Garrett County,2025,Non-Hisp White Male,705,709,784,845,790,774,768,753,861,831,895,1064,1189,1162,875,639,379,236,14259
Baltimore County,2030,Non-Hisp White Female,8301,8414,9375,9318,9568,10367,10299,10933,12132,12273,11379,11642,13579,15966,15840,12762,9543,10379,202070
Dorchester Co,2035,Non-Hisp White Female,476,545,536,510,504,539,582,451,674,688,886,764,831,821,869,759,457,447,11339
Calvert County,2020,Total Non-Hispanic Black,596,589,786,725,729,663,732,625,759,785,1104,1144,927,742,541,358,208,164,12177
Cecil County,2030,Total Non-Hispanic Black,727,689,746,660,584,737,918,903,686,560,670,643,707,508,347,178,69,47,10379
Harford County,2010,Hispanic Male,474,463,447,379,365,368,395,349,303,245,208,108,109,56,30,22,18,15,4354
Somerset County,2020,Non-Hisp Other Female,39,32,51,40,38,32,33,18,20,14,21,19,15,9,11,11,5,3,411
Wicomico County,2025,Total Hispanic,600,545,563,644,473,375,475,600,591,449,306,230,174,100,52,29,16,21,6243
Frederick County,2015,Non-Hisp Black Male,788,778,985,837,732,611,652,695,852,904,922,619,425,322,142,123,64,33,10484
Washington County,2015,Total Hispanic,740,790,704,569,498,462,477,481,437,413,292,220,144,94,52,31,24,9,6437
Somerset County,2040,Non-Hisp Black Male,364,353,408,367,461,285,227,235,286,198,130,136,176,133,97,122,88,34,4100
Howard County,2040,Total Non-Hispanic Black,5912,6643,7483,7197,4922,5214,5674,6201,6772,7133,6292,5747,4800,4164,3473,3001,1904,1523,94055
Calvert County,2035,Non-Hisp Other Male,203,224,218,183,98,173,180,168,137,127,105,94,110,102,93,62,21,7,2305
Washington County,2045,Hispanic Male,615,635,652,628,629,578,610,612,522,440,367,328,361,290,225,48,33,3,7576
Prince George's County,2030,Total Non-Hispanic White,5113,4762,4452,3849,7499,6701,6983,8696,7674,5602,4814,4505,5172,6687,7195,6018,4096,3928,103746
Caroline County,2035,Non-Hisp White Female,880,903,806,693,611,868,1057,977,980,1059,965,920,866,964,984,773,510,387,15203
Charles County,2030,Total Male,6640,6659,6805,6549,5081,5262,5856,6033,5477,4927,4530,5193,5994,5627,4173,2613,1585,969,89973
Frederick County,2040,Non-Hisp White Female,5346,5743,5744,5305,4280,4572,5673,7849,7556,6742,5642,5215,4519,5045,5897,6659,5265,7061,104113
Frederick County,2040,Total Female,10364,10607,10411,9560,7648,8249,10077,12317,12244,10762,8996,8340,7579,7935,8416,8641,6620,7950,166716
Cecil County,2035,Total Male,4250,4467,4220,3566,3327,4351,4278,3816,3829,3884,3539,3380,3576,3601,3142,2234,1367,1445,62272
Talbot County,2020,Total Male,887,941,1099,1087,767,759,937,989,845,1015,1106,1341,1343,1404,1362,1120,669,553,18224
Frederick County,2045,Total Hispanic,4403,4222,4012,3640,3266,2821,2846,2931,2795,2680,2237,2086,2092,2081,1704,1388,1069,753,47026
Talbot County,2030,Non-Hisp White Male,634,684,705,631,512,576,590,587,753,751,625,785,962,1307,1344,1155,830,739,14170
St. Mary's County,2025,Total Hispanic,690,633,767,696,600,523,531,498,576,453,350,276,251,153,101,76,25,7,7206
Worcester County,2015,Non-Hisp White Male,728,857,1029,983,811,871,859,802,1032,1351,1701,1719,1760,1711,1403,1032,631,461,19741
Garrett County,2030,Non-Hisp White Female,719,770,739,697,694,767,863,853,828,924,882,1016,1079,1133,1000,797,570,495,14826
State of Maryland,2020,Total Non-Hispanic Black,117052,117497,124828,118628,110768,130664,128165,120916,113842,114394,123128,127573,110636,84917,62047,37743,22231,21094,1786123
State of Maryland,2030,Total Hispanic,63650,59867,57486,61247,57019,55371,48296,50310,55849,58560,53545,43368,34264,25309,15962,9875,5120,2806,757904
Worcester County,2020,Total Male,1108,1157,1497,1404,1200,1143,1206,1212,1219,1385,1803,2237,2257,1954,1709,1267,794,601,25153
Garrett County,2040,Non-Hisp White Male,695,755,840,798,668,618,740,852,978,874,831,941,930,933,896,791,532,385,14057
Wicomico County,2045,Total Male,4043,4065,4318,4211,4707,3417,3040,3830,4003,3807,3712,3517,2847,2645,2012,1733,1333,1602,58842
Frederick County,2015,Non-Hisp White Female,4543,4572,5404,5594,4929,5229,5370,5043,5868,7372,8446,7689,6315,5163,3484,2457,1857,2549,91884
Howard County,2045,Total,19307,20461,22518,22764,19952,21396,21305,21023,22813,25106,25914,22449,21468,18401,16441,16002,14708,15849,367877
Talbot County,2035,Non-Hisp Other Female,58,55,47,28,19,73,63,62,54,26,43,21,16,11,8,6,5,12,607
Frederick County,2010,Total Female,7232,7913,8409,7590,5940,6828,7046,8173,9579,10489,9378,7627,6221,4319,2974,2437,2083,2134,116372
Baltimore City,2040,Non-Hisp Black Male,12498,11834,12173,11969,11917,11135,11273,10795,10906,12396,11645,10673,8474,6251,5869,5261,3809,2608,171486
Washington County,2020,Total Male,4641,4473,5201,5068,4048,3825,3951,4272,4345,4556,5197,5549,4921,3936,3048,2072,1279,1165,71547
Somerset County,2035,Total Female,692,656,673,991,773,778,722,609,772,598,690,667,691,692,741,603,397,335,12080
Queen Anne's County,2020,Non-Hisp White Male,1003,1131,1284,1390,947,786,1245,1262,1126,1293,1646,2088,1798,1425,1162,944,445,358,21333
Wicomico County,2045,Non-Hisp Other Male,341,368,421,431,378,272,293,456,388,349,277,268,189,138,114,61,6,1,4751
Caroline County,2030,Hispanic Male,273,208,162,138,141,136,107,68,87,90,68,82,27,20,8,4,1,1,1621
Prince George's County,2035,Total Non-Hispanic White,4513,4165,4360,4046,8663,6705,5839,6336,7980,7168,5264,4455,4050,4490,5702,5811,4263,4235,98045
Dorchester Co,2020,Total Hispanic,250,266,201,156,128,143,171,189,125,90,68,50,26,26,25,22,14,5,1955
Talbot County,2020,Non-Hisp Other Male,41,25,76,70,49,49,36,41,30,29,35,25,16,18,14,10,6,6,576
Carroll County,2030,Non-Hisp Black Female,261,203,179,127,117,190,289,382,372,274,223,324,273,273,247,159,113,61,4067
Carroll County,2015,Hispanic Female,232,248,256,218,185,166,183,147,168,159,148,97,56,36,15,17,19,12,2362
Carroll County,2040,Non-Hisp Black Female,254,222,234,185,147,142,187,344,500,547,410,366,272,336,299,280,172,103,5000
Howard County,2045,Total Female,9382,9878,10875,10814,9606,10290,10320,10370,11461,12860,13280,11639,11336,9780,8972,8966,8616,9656,188101
Frederick County,2020,Total Male,7942,7389,8201,8752,7955,8698,7880,7782,7252,7999,9124,9907,8509,6545,4870,3064,1978,1672,125519
Carroll County,2025,Total,8899,9247,8934,9348,8487,8527,9775,10201,9287,8042,9971,13090,14407,12440,9496,7774,5019,4855,167799
